component,count,avg_voltage,avg_current,avg_temperature,avg_power
Boost Converter,4562,8.486012713722054,1.5386234107847439,62.4543533537923,13.108895352915413
Buck Converter,4513,8.465792155993789,1.535787724351874,62.622105029913584,12.948569909151308
Metal Film Resistor,4510,6.497527716186249,0.7605565410199544,57.59885809312645,4.935427472283815
Electrolytic Capacitor,4506,9.998905903240125,1.2932512205947624,52.43673546382601,12.913036773191287
Trimmer,4485,8.440793756967675,1.5428695652173905,62.40518171683389,12.994479821627644
Thin Film Resistor,4483,6.5470421592683605,0.7513004684363146,57.31095694847189,4.907831318313631
Microcontroller IC,4472,8.469503577817534,0.5986404293381037,62.24735912343472,5.069055299642212
Tantalum Capacitor,4448,10.032738309352526,1.2988241906474811,52.458579136690744,13.036547122302146
Wire Wound Resistor,4431,6.473755359963892,0.7466102459941338,57.50410968178741,4.828368472128197
IC555 Timer,4431,8.530487474610704,0.5971428571428576,62.20259986459046,5.097867817648384
Carbon Composition Resistor,4427,6.480262028461712,0.764687147052179,57.366360966794666,4.961856855658474
Ceramic Capacitor,4424,9.96333408679927,1.2935171790235087,52.380244122965685,12.867212319168178
Potentiometer,4418,8.425339520144878,1.5416545948392935,62.29951561792668,13.009203508374826
Voltage Regulator IC,4413,8.511144346249704,0.5931497847269449,62.43411058237028,5.0493952413324195
OpAmp IC,4394,8.498786982248506,0.5983386436049168,62.444695038689176,5.08475250341375
Thick Film Resistor,4389,6.4989086352244225,0.7568626110731383,57.27941216678058,4.929119047619051
Inverter Module,4353,8.620084998851366,1.5324511830921212,61.967073282793535,13.19613305766139
Rheostat,4341,8.620179682100892,1.5655355908776762,63.218518774475974,13.512246510020747
