Rheostat,13.512246510020747
Inverter Module,13.19613305766139
Boost Converter,13.108895352915413
Tantalum Capacitor,13.036547122302146
Potentiometer,13.009203508374826
Trimmer,12.994479821627644
Buck Converter,12.948569909151308
Electrolytic Capacitor,12.913036773191287
Ceramic Capacitor,12.867212319168178
IC555 Timer,5.097867817648384
OpAmp IC,5.08475250341375
Microcontroller IC,5.069055299642212
Voltage Regulator IC,5.0493952413324195
Carbon Composition Resistor,4.961856855658474
Metal Film Resistor,4.935427472283815
Thick Film Resistor,4.929119047619051
Thin Film Resistor,4.907831318313631
Wire Wound Resistor,4.828368472128197
